,mcap_cr
IL&FSTRANS,67.77
IMPEXFERRO,13.31
IKIO,834.43
IGL,20736.39
IMAGICAA,2126.51
IKS,21356.1
INDGN,10177.43
INDIANCARD,105.5
INDHOTEL,82907.81
IMFA,6367.31
INDIAMART,11839.82
INCREDIBLE,148.71
INDIGOPNTS,3399.04
INDIAGLYCO,5489.56
INDBANK,134.65
INDIACEM,16244.02
IMPAL,1205.82
INDIANHUME,1622.61
INDIANB,112942.98
INDIASHLTR,7272.26
INDOAMIN,596.73
INDIQUBE,2873.84
INDIGO,152530.43
INDOTECH,1310.73
INDOBORAX,786.8
INDOCO,1688.5
INDNIPPON,1606.69
INDORAMA,823.03
INDOFARM,573.54
INDOTHAI,3305.43
INDOSTAR,2961.3
INDRAMEDCO,3383.65
INDOUS,206.72
INDTERRAIN,141.06
INDSWFTLAB,1162.2
INDOWIND,135.56
INDUSTOWER,109072.67
INDUSINDBK,60641.72
INFOBEAN,1274.24
INFY,508552.41
INFOMEDIA,23.15
INNOVANA,711.43
INGERRAND,11221.3
INOXINDIA,10554.89
INNOVACAP,3808.61
INOXGREEN,5423.42
INVENTURE,101.85
HONDAPOWER,1979.62
IOB,
IONEXCHANG,
IREDA,31044.82
IRMENERGY,765.52
IRFC,116920.43
JAGRAN,
INOXWIND,13167.99
ITDC,3345.44
IRCON,10838.5
ITC,363911.48
ISGEC,6510.48
INSPIRISYS,293.14
INTERARCH,2806.94
INTLCONV,417.51
IOC,195028.42
ITCHOTELS,29198.89
IRB,24300.94
IRCTC,40824.0
INTELLECT,8834.63
IPCALAB,38955.09
INTENTECH,181.94
INSECTICID,1657.99
IPL,1460.7
IRIS,449.33
ISHANCH,138.96
IOLCP,2101.67
IRISDOREME,475.0
IVC,202.04
IXIGO,7298.82
IVALUE,1161.44
JAINREC,15171.7
JAGSNPHARM,1219.03
IZMO,992.54
JAYAGROGN,500.82
IVP,130.98
JAMNAAUTO,4494.35
ITI,24442.86
JAIPURKURT,46.78
JAICORPLTD,1663.12
JARO,1013.65
JAYKAY,1618.16
JAYBARMARU,852.14
ISFT,97.1
JAIBALAJI,5269.16
J&KBANK,12039.23
JAYNECOIND,6690.91
JASH,2175.76
JAYSREETEA,222.47
JINDALPOLY,3981.94
JHS,59.79
JGCHEM,1234.95
JINDALSAW,11416.35
JETFREIGHT,79.81
JPOLYINVST,1141.6
JINDALSTEL,112554.53
JINDALPHOT,1089.99
JINDRILL,1330.75
JNKINDIA,1249.95
JISLDVREQS,2708.32
JBMA,12792.34
JKLAKSHMI,7173.06
JMA,182.45
JBCHEPHARM,33401.03
JKPAPER,5340.41
JITFINFRA,773.28
JKCEMENT,37695.32
JIOFIN,143644.54
JKTYRE,11311.38
JOCIL,96.15
JKIL,3493.55
JLHL,8249.52
JSLL,7292.1
JKIPL,195.5
JSFB,3619.48
JMFINANCIL,11252.58
JISLJALEQS,2029.6
JINDWORLD,1973.47
JUBLPHARMA,12935.75
JPPOWER,10059.88
JSL,57362.63
JSWHL,15357.87
JSWCEMENT,15137.94
JYOTISTRUC,1163.82
JTEKTINDIA,3330.98
JSWINFRA,50294.38
JWL,10795.38
JTLIND,1942.22
JUBLCPL,2348.18
JSWENERGY,84768.23
JUBLINGREA,8934.81
JUNIPER,4303.86
KALYANKJIL,37473.97
KAKATCEM,75.6
KABRAEXTRU,681.8
KALPATARU,5825.31
JUSTDIAL,4259.49
KALAMANDIR,1416.89
JYOTICNC,16430.18
JUBLFOOD,28809.67
JSWSTEEL,271059.95
KAJARIACER,14188.77
JYOTHYLAB,7329.6
KAMATHOTEL,479.26
KAMOPAINTS,129.83
KANANIIND,25.63
KANSAINER,12863.33
KAMDHENU,543.34
KANPRPLA,378.99
KAUSHALYA,27.71
KALYANIFRG,194.23
KAYNES,22874.18
KANORICHEM,259.54
KARURVYSYA,25243.25
KAVDEFENCE,349.11
KAPSTON,562.18
KEEPLEARN,26.94
KCP,1652.95
KDDL,2585.92
KEC,13705.31
KARMAENG,43.57
KCPSUGIND,260.9
KEYFINSERV,138.81
KECL,555.13
KICL,1829.22
KAYA,383.11
KELLTONTEC,814.4
KIMS,25228.76
KHADIM,157.47
KHANDSE,24.21
KFINTECH,15140.71
KIRLOSENG,18717.96
KIRLOSBROS,11778.54
KIRIINDUS,2149.98
KESORAMIND,242.63
KIOCL,19727.6
KIRLOSIND,2769.2
KEI,38149.42
KHAICHEM,456.24
KINGFA,5357.04
KHAITANLTD,46.87
KNAGRI,406.86
KERNEX,1520.62
KITEX,2998.5
KMEW,3538.28
KILITCH,549.21
KMSUGAR,225.77
KOHINOOR,81.51
KOLTEPATIL,2865.25
KOKUYOCMLN,738.04
KPIL,17386.35
KOTHARIPET,626.07
KNRCON,3208.16
KOTARISUG,193.21
KRBL,6527.94
KIRLPNU,6765.41
KOPRAN,550.84
KPEL,1791.44
KOTAKBANK,354606.54
KOTHARIPRO,372.29
KKCL,2545.43
KPIGREEN,7071.68
KPRMILL,28181.04
KREBSBIO,100.0
KOTYARK,396.83
KRIDHANINF,21.33
KRN,5270.57
KRITINUT,301.7
KPITTECH,17972.68
KRITIKA,144.06
KRITI,316.65
KSHINTL,2946.7
KSB,13624.66
KRSNAA,1862.95
KRISHANA,2899.71
KRYSTAL,754.56
KRONOX,387.85
KRISHNADEF,1179.27
KSL,2789.62
KROSS,1036.34
LAOPALA,1966.25
KRISHIVAL,806.78
KSOLVES,617.1
KALYANI,13.81
KTKBANK,8111.11
KSR,67.05
LAL,116.94
KUANTUM,628.21
LANDMARK,1529.06
LALPATHLAB,21833.45
LAGNAM,107.36
LATTEYS,108.44
LENSKART,86716.15
LAKPRE,10.59
LAXMIINDIA,428.6
LATENTVIEW,5164.85
KSCL,3985.45
LEXUS,55.28
LASA,35.12
LEMERITE,1072.21
LAURUSLABS,51914.32
LGEINDIA,100770.55
KSHITIJPOL,20.38
LANCORHOL,148.65
LAXMICOT,21.5
LAMBODHARA,94.14
LLOYDSME,68057.54
LIBERTSHOE,404.08
LEMONTREE,8087.93
LGBBROSLTD,5267.13
LAXMIDENTL,925.84
LIKHITHA,527.64
LFIC,36.35
LIBAS,25.87
LGHL,1187.44
LCCINFOTEC,74.69
LICHSGFIN,25341.4
LICI,468049.83
LORDSCHLO,326.48
LOYALTEX,95.85
LINDEINDIA,57694.78
LLOYDSENGG,5630.68
LOTUSDEV,5262.09
LLOYDSENT,6437.47
LOTUSEYE,221.84
LINC,577.13
LODHA,72698.81
LOKESHMACH,382.96
LMW,13468.06
LINCOLN,1175.44
LUMAXTECH,10090.07
LPDC,78.19
LYKALABS,178.1
LT,459784.38
LTFOODS,12646.5
LTF,62021.12
LOVABLE,90.77
LUPIN,104969.11
LXCHEM,3129.0
LUMAXIND,4497.96
LUXIND,2785.69
LTTS,32600.79
MAHASTEEL,1581.55
MAANALU,701.18
M&M,354835.75
MADRASFERT,937.77
M&MFIN,40718.66
MAGNUM,114.45
MADHAV,29.12
MAGADSUGAR,615.03
MADHUCON,29.98
MALLCOM,624.44
MAHAPEXLTD,72.3
