,mcap_cr
KAVDEFENCE,344.84
JSWENERGY,86243.38
JYOTISTRUC,1249.76
KAKATCEM,73.2
JUBLPHARMA,13301.86
KALYANI,13.81
KAJARIACER,15513.92
KABRAEXTRU,724.94
JWL,10966.75
KAMOPAINTS,140.15
JYOTHYLAB,7639.9
JTEKTINDIA,3526.82
KAMDHENU,538.83
KANPRPLA,435.77
KAYNES,23734.89
KCPSUGIND,274.96
KALYANKJIL,40744.03
KALYANIFRG,212.86
KECL,578.29
KAPSTON,859.4
KCP,1740.89
KERNEX,1610.43
KARMAENG,43.31
KALAMANDIR,1418.81
KARURVYSYA,26354.86
KAUSHALYA,28.02
KANSAINER,14442.64
KEEPLEARN,27.25
KEI,38700.08
KANORICHEM,280.9
KAMATHOTEL,472.8
KAYA,399.66
KANANIIND,25.23
KEC,14095.29
KDDL,2729.09
KEYFINSERV,131.34
KIMS,25058.7
KICL,1856.09
KHAITANLTD,49.74
KFINTECH,15598.76
KINGFA,5687.5
KILITCH,485.06
KHAICHEM,502.82
KHADIM,153.42
KELLTONTEC,796.99
KIOCL,20827.63
KHANDSE,21.34
KNAGRI,467.53
KMSUGAR,238.46
KIRIINDUS,2253.31
KMEW,3888.4
KIRLOSIND,2907.68
KKCL,2725.07
KOLTEPATIL,2715.38
KIRLPNU,7082.39
KITEX,3108.3
KESORAMIND,266.24
KIRLOSBROS,11150.3
KNRCON,3405.61
KIRLOSENG,20116.33
KRISHANA,3333.74
KOTARISUG,197.27
KOTAKBANK,356048.65
KOTHARIPRO,372.65
KPITTECH,18994.94
KRISHIVAL,823.57
KOPRAN,579.33
KPIL,18889.15
KPIGREEN,7649.55
KPEL,1902.45
KOTYARK,407.41
KREBSBIO,103.59
KOHINOOR,78.54
KOKUYOCMLN,758.6
KOTHARIPET,648.13
KRN,5394.26
KPRMILL,28425.95
KRBL,7038.36
KRISHNADEF,1237.19
KRSNAA,1785.59
KRONOX,441.24
KSHINTL,3037.83
KROSS,1031.44
KRIDHANINF,20.92
KRITI,368.08
KRITIKA,137.93
KSHITIJPOL,20.38
KRYSTAL,739.19
KRITINUT,306.47
LAOPALA,1966.36
KSB,14589.71
KSR,60.19
KSL,2736.28
KTKBANK,8601.56
LAKPRE,10.89
KSCL,4239.17
LALPATHLAB,22185.76
LATENTVIEW,6458.13
LAGNAM,113.05
LAMBODHARA,96.99
LAL,124.37
KSOLVES,677.62
LANDMARK,1683.73
LATTEYS,109.82
LASA,31.26
LAXMICOT,21.26
KUANTUM,610.41
LAXMIINDIA,418.3
LAURUSLABS,56315.21
LCCINFOTEC,90.53
LGHL,1186.54
LICHSGFIN,28460.26
LEMONTREE,8570.96
LAXMIDENTL,991.02
LIBERTSHOE,400.42
LEXUS,44.96
LANCORHOL,150.78
LOKESHMACH,428.52
LENSKART,83854.43
LGEINDIA,89516.51
LFIC,35.65
LICI,464792.44
LGBBROSLTD,5448.94
LIKHITHA,680.0
LIBAS,26.74
LLOYDSME,78112.01
LOTUSDEV,5560.7
LINCOLN,1211.6
LMW,13151.84
LODHA,69517.79
LEMERITE,1079.03
LPDC,78.06
LLOYDSENGG,6204.26
LINC,588.33
LOVABLE,91.43
LINDEINDIA,62227.63
LOTUSEYE,217.91
LOYALTEX,89.06
LLOYDSENT,6947.34
LTFOODS,13412.58
LTTS,35482.88
LORDSCHLO,352.59
MAANALU,688.11
LYKALABS,198.47
LUMAXIND,4476.45
M&MFIN,39620.97
LTF,60192.92
LYPSAGEMS,14.12
LUPIN,103985.39
MACPOWER,860.51
MAHABANK,49141.34
LUXIND,2741.18
LT,497029.68
LUMAXTECH,10999.97
MAHESHWARI,130.38
MADRASFERT,947.44
M&M,361546.38
MADHAV,28.96
MAHAPEXLTD,119.44
MAHLIFE,6814.32
LXCHEM,3270.34
MAITHANALL,2642.89
MAHLOG,3452.45
MAGADSUGAR,695.35
MAGNUM,142.3
MAHEPC,288.7
MADHUCON,30.72
MAHASTEEL,1544.83
MALLCOM,625.9
MANGALAM,46.91
MANAKCOAT,1101.82
MAHSEAMLES,7884.52
MAMATA,842.57
MANBA,531.73
MANINFRA,3450.54
MANCREDIT,357.15
MANORG,332.14
